C0,C1,C2,C3,C4,C5,C6,C7,C8
vazio,Apartamento,vazio,Rua Guido Scotti,"Tingui, Curitiba",            90 m²,            3 dorms,Aluguel: R$ 2.800,Total: R$ 3.206
vazio,Apartamento,              Exclusivo,Rua Ângelo Tozim,"Campo de Santana, Curitiba",            48 m²,            2 dorms,Aluguel: R$ 935,Total: R$ 1.412
vazio,Apartamento,              Exclusivo,Rua Vereador Adeodato Volpi,"Novo Mundo, Curitiba",            70 m²,            2 dorms,Aluguel: R$ 1.177,Total: R$ 1.628
vazio,Studio e kitnet,              Exclusivo,Estrada da Mina do Ouro,"Santo Inácio, Curitiba",            20 m²,            1 dorms,Aluguel: R$ 552,Total: R$ 1.272
vazio,Casa em Condomínio,              Exclusivo,Rua Jaziel Sotto Maior Lagos,"Campo Comprido , Curitiba",            166 m²,            3 dorms,Aluguel: R$ 3.800,Total: R$ 4.624
vazio,Apartamento,vazio,Estrada Guilherme Weigert,"Santa Cândida, Curitiba",            64 m²,            3 dorms,Aluguel: R$ 1.360,Total: R$ 1.726
vazio,Casa,vazio,Rua Desembargador Ernâni Guaritá Cartaxo,"Capão Raso, Curitiba",            350 m²,            5 dorms,Aluguel: R$ 4.500,Total: R$ 4.914
vazio,Studio e kitnet,              Exclusivo,Rua Pastor Antônio Cardona de Aguiar,"Novo Mundo, Curitiba",            25 m²,            1 dorms,Aluguel: R$ 900,Total: R$ 932
vazio,Studio e kitnet,              Exclusivo,Rua Pastor Antônio Cardona de Aguiar,"Novo Mundo, Curitiba",            25 m²,            1 dorms,Aluguel: R$ 900,Total: R$ 932
vazio,Apartamento,vazio,Rua Satyrio Ferreira da Costa,"Alto Boqueirão, Curitiba",            44 m²,            2 dorms,Aluguel: R$ 1.020,Total: R$ 1.455
vazio,Studio e kitnet,vazio,Rua das Carmelitas,"Boqueirão, Curitiba",            40 m²,            1 dorms,Aluguel: R$ 552,Total: R$ 905
vazio,Studio e kitnet,              Exclusivo,Rua Pastor Antônio Cardona de Aguiar,"Novo Mundo, Curitiba",            25 m²,            1 dorms,Aluguel: R$ 860,Total: R$ 891
vazio,Casa em Condomínio,vazio,Rua Orlando Peruci,"Butiatuvinha, Curitiba",            372 m²,            4 dorms,Aluguel: R$ 10.700,Total: R$ 12.297
vazio,Studio e kitnet,              Originals,Rua Sete de Abril,"Alto da Rua XV, Curitiba",            34 m²,            1 dorms,Aluguel: R$ 1.600,Total: R$ 2.058
vazio,Casa,              Exclusivo,Rua Isac de Oliveira,"Uberaba, Curitiba",            38 m²,            1 dorms,Aluguel: R$ 910,Total: R$ 1.027
vazio,Apartamento,              Exclusivo,Rua Miguel Caluf,"Cajuru, Curitiba",            70 m²,            3 dorms,Aluguel: R$ 1.550,Total: R$ 1.606
vazio,Apartamento,              Exclusivo,Rua Fernando de Noronha,"Boa vista, Curitiba",            69 m²,            3 dorms,Aluguel: R$ 1.260,Total: R$ 1.695
vazio,Studio e kitnet,              Exclusivo,Rua Doutor Pedrosa,"Centro, Curitiba",            37 m²,            1 dorms,Aluguel: R$ 1.300,Total: R$ 2.895
vazio,Casa,vazio,Avenida Nossa Senhora da Luz,"Jardim Social, Curitiba",            270 m²,            5 dorms,Aluguel: R$ 12.120,Total: R$ 19.055
vazio,Casa em Condomínio,vazio,Rua Tenente-coronel Servando de Loyola E Silva,"Barreirinha, Curitiba",            125 m²,            3 dorms,Aluguel: R$ 5.500,Total: R$ 6.137
